            ,                    ,                        ,                    ,      ,             ,       , PRESENÇA DIGITAL DA CASA                                                     ,                         ,                               ,                                                                                                                                                                                                             , "google_maps_url, site_url"                                                                                                                    , 
            ,                    ,                        , ACSE               ,      ,             ,       , DESCOMPLICAR O MOVIMENTO FEDERATIVO                                          ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , ACSE               ,      ,             ,       , DETALHAR PROCESSOS INTERNOS DA ÁREA PARA PERMITIR CONTINUIDADE DO TRABALHO   ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , ACSE               ,      ,             ,       , Espaço Oficinas                                                              ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , ACSE               ,      ,             ,       , Grupo de estudos de CNV                                                      ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , ACSE               ,      ,             ,       , GUIA PARA VALIDAR IDÉIAS RELATIVAS AO TRABALHO ESPÍRITA                      ,                         ,                               , GARANTIR QUE TENHAM A FUNDAMENTAÇÃO DOUTRINÁRIA ADEQUADA                                                                                                                                                    , FORM DE IDÉIAS DAS CASAS                                                                                                                       , 
            ,                    ,                        , ACSE               ,      ,             ,       , GUIAS DE GESTÃO PARA EQUIPES MAIORES                                         ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , ACSE               ,      ,             ,       , GUIAS DE GESTÃO PARA EQUIPES PEQUENAS                                        ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , ACSE               ,      ,             , ✅     , MUTIRÃO DE PROBLEMAS SOLUÇÕES                                                ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , ACSE               ,      ,             , 📃    , DIVULGAR PLANEJAMENTOS ESTRATÉGICOS PUBLICAMENTE                             ,                         ,                               ,                                                                                                                                                                                                             ,                                                                                                                                                , 
            ,                    ,                        , ACSE               ,      ,             , 📃    , PROPOSTAS DE EXERCÍCIOS DE AUTOCONHECIMENTO                                  ,                         ,                               , FOFA INDIVIDUAL E FOFA EQUIPE                                                                                                                                                                               ,                                                                                                                                                , 
            ,                    ,                        , ACSE               ,      ,             , 📃    , PROPOSTAS DE EXERCÍCIOS DE COMUNICAÇÃO                                       ,                         ,                               , CAPACITAÇÃO CONTÍNUA                                                                                                                                                                                        ,                                                                                                                                                , 
            ,                    ,                        , ACSE               ,      ,             , 📃    , PROPOSTAS DE EXERCÍCIOS DE REFORMA ÍNTIMA                                    ,                         ,                               , FOFA APROFUNDADO COM CONHECIMENTO ESPÍRITA                                                                                                                                                                  ,                                                                                                                                                , 
            ,                    ,                        , ACSE               ,      , ACSE        ,       , Prompts de IA para facilitar processos e tarefas                             ,                         ,                               , guardrails para agilizar o trabalho                                                                                                                                                                         ,                                                                                                                                                , 

